## blobtools v1.0
## cov0=/home/jon/Working_Files/blobtools/output.output.bam.cov
# name	colour	count_visible	count_visible_perc	span_visible	span_visible_perc	n50	gc_mean	gc_std	cov0_mean	cov0_std	cov0_read_map	cov0_read_map_p
Priapulus caudatus	None	51	59.3%	252,679	96.3%	6,442	0.41	0.031	99.8	45.1	174,145	0.0%
Neolamprologus brichardi	None	2	100.0%	13,605	100.0%	12,504	0.41	0.0092	109.9	7.9	10,585	0.0%
Gouania willdenowi	None	4	80.0%	20,667	99.2%	8,118	0.37	0.017	92.1	30.3	13,302	0.0%
Amphiprion ocellaris	None	8	100.0%	61,006	100.0%	14,520	0.37	0.011	136.5	87.1	41,094	0.0%
Syngnathus acus	None	3	100.0%	23,793	100.0%	13,509	0.39	0.0088	91.7	28.4	15,255	0.0%
Crassadoma gigantea	None	0	0.0%	0	0.0%	0.0	0.0	0.0	0.0	0.0	0	0.0%
Stichopus monotuberculatus	None	10	90.9%	35,367	99.6%	3,688	0.36	0.0086	104.2	31.5	26,307	0.0%
Chlorocebus sabaeus	None	0	0.0%	0	0.0%	0.0	0.0	0.0	0.0	0.0	0	0.0%
Labrus bergylta	None	19	79.2%	162,364	98.4%	13,062	0.36	0.022	91.1	29.8	123,425	0.0%
Solanum pennellii	None	1	100.0%	1,991	100.0%	1,991	0.36	0.0	67.3	0.0	894	0.0%
Neopelma chrysocephalum	None	2	100.0%	13,028	100.0%	8,476	0.35	0.0074	118.4	18.2	9,813	0.0%
Meridiastra gunnii	None	0	0.0%	0	0.0%	0.0	0.0	0.0	0.0	0.0	0	0.0%
Pteria lata	None	0	0.0%	0	0.0%	0.0	0.0	0.0	0.0	0.0	0	0.0%
Armadillidium vulgare	None	2	100.0%	19,577	100.0%	18,313	0.41	0.059	118.8	47.3	20,832	0.0%
Synallactes sp. AKM-2016	None	0	0.0%	0	0.0%	0.0	0.0	0.0	0.0	0.0	0	0.0%
Schistosoma mansoni	None	1	100.0%	3,443	100.0%	3,443	0.38	0.0	108.9	0.0	2,501	0.0%
Acropora digitifera	None	1	100.0%	31,283	100.0%	31,283	0.37	0.0	152.7	0.0	31,882	0.0%
Sinocyclocheilus anshuiensis	None	1	50.0%	16,837	98.0%	16,837	0.39	0.0	134.1	0.0	15,071	0.0%
Hirundo rustica	None	1	100.0%	31,601	100.0%	31,601	0.36	0.0	80.8	0.0	17,033	0.0%
Dentalium octangulatum	None	0	0.0%	0	0.0%	0.0	0.0	0.0	0.0	0.0	0	0.0%
Ophioderma longicauda	None	0	0.0%	0	0.0%	0.0	0.0	0.0	0.0	0.0	0	0.0%
Laternula gracilis	None	0	0.0%	0	0.0%	0.0	0.0	0.0	0.0	0.0	0	0.0%
Salmo trutta	None	17	94.4%	195,992	99.7%	16,512	0.38	0.019	95.7	27.9	131,994	0.0%
Callorhinchus milii	None	3	75.0%	12,144	95.0%	4,056	0.37	0.035	70.7	15.3	6,151	0.0%
Condylura cristata	None	1	100.0%	24,712	100.0%	24,712	0.39	0.0	149.1	0.0	24,603	0.0%
Chelonia mydas	None	1	100.0%	2,622	100.0%	2,622	0.4	0.0	116.1	0.0	2,031	0.0%
Daphnia magna	None	2	100.0%	29,484	100.0%	28,049	0.36	0.0013	105.6	29.9	26,071	0.0%
Agrilus planipennis	None	4	100.0%	55,417	100.0%	12,223	0.4	0.022	133.5	21.5	48,958	0.0%
Pocillopora damicornis	None	10	83.3%	69,885	97.9%	19,112	0.39	0.018	131.5	67.8	58,644	0.0%
Punica granatum	None	3	100.0%	15,703	100.0%	9,868	0.41	0.046	93.6	18.9	11,042	0.0%
Crucella scotiae	None	0	0.0%	0	0.0%	0.0	0.0	0.0	0.0	0.0	0	0.0%
Stichopus vastus	None	0	0.0%	0	0.0%	0.0	0.0	0.0	0.0	0.0	0	0.0%
Stichopus chloronotus	None	14	100.0%	78,678	100.0%	6,441	0.38	0.017	96.5	45.9	56,137	0.0%
Culex quinquefasciatus	None	1	33.3%	7,171	95.2%	7,171	0.36	0.0	66.1	0.0	3,159	0.0%
Gadus morhua	None	20	90.9%	203,106	99.5%	20,237	0.41	0.023	90.2	19.7	122,049	0.0%
Coregonus sp. 'balchen'	None	9	69.2%	27,656	96.4%	4,929	0.38	0.018	129.3	79.7	21,857	0.0%
Psolidium dorsipes	None	0	0.0%	0	0.0%	0.0	0.0	0.0	0.0	0.0	0	0.0%
Electrophorus electricus	None	2	100.0%	13,725	100.0%	9,397	0.36	0.0089	75.2	0.2	6,878	0.0%
Cricetulus griseus	None	2	100.0%	31,790	100.0%	28,136	0.38	0.011	121.6	31.7	30,944	0.0%
Eucyclops serrulatus	None	0	0.0%	0	0.0%	0.0	0.0	0.0	0.0	0.0	0	0.0%
Nanorana parkeri	None	2	66.7%	39,827	99.7%	34,553	0.36	0.0021	114.4	0.7	30,300	0.0%
Aplysia californica	None	2	100.0%	7,434	100.0%	6,071	0.39	0.0071	93.1	32.0	5,635	0.0%
Sinocyclocheilus grahami	None	0	0.0%	0	0.0%	0.0	0.0	0.0	0.0	0.0	0	0.0%
Monodelphis domestica	None	3	100.0%	23,964	100.0%	16,299	0.37	0.016	82.1	13.6	13,173	0.0%
Ensis arcuatus	None	0	0.0%	0	0.0%	0.0	0.0	0.0	0.0	0.0	0	0.0%
Sus scrofa	None	0	0.0%	0	0.0%	0.0	0.0	0.0	0.0	0.0	0	0.0%
Volvox carteri	None	1	100.0%	3,252	100.0%	3,252	0.41	0.0	66.8	0.0	1,449	0.0%
Eptatretus burgeri	None	9	47.4%	67,270	94.8%	17,459	0.44	0.046	97.4	18.6	45,318	0.0%
Scyliorhinus torazame	None	1	100.0%	11,471	100.0%	11,471	0.36	0.0	142.8	0.0	10,893	0.0%
Canis lupus	None	2	100.0%	50,806	100.0%	29,486	0.37	0.0073	128.7	6.6	44,029	0.0%
Metorchis orientalis	None	0	0.0%	0	0.0%	0.0	0.0	0.0	0.0	0.0	0	0.0%
Nylanderia fulva	None	1	100.0%	53,771	100.0%	53,771	0.36	0.0	139.8	0.0	50,145	0.0%
Mastacembelus armatus	None	6	85.7%	63,625	99.7%	22,813	0.37	0.012	94.4	38.0	54,345	0.0%
Holothuria sanctori	None	1	1.6%	2,283	18.6%	2,283	0.42	0.0	74.8	0.0	1,139	0.0%
Bombyx mori	None	9	90.0%	42,852	99.2%	6,007	0.41	0.028	138.6	49.2	39,617	0.0%
Oncorhynchus mykiss	None	1	100.0%	3,335	100.0%	3,335	0.42	0.0	168.7	0.0	3,752	0.0%
Mytilus coruscus	None	3	25.0%	6,510	83.1%	1,978	0.4	0.0058	201.6	143.1	7,453	0.0%
Terrapene carolina	None	1	100.0%	3,953	100.0%	3,953	0.34	0.0	126.9	0.0	3,351	0.0%
Trichinella papuae	None	4	80.0%	34,331	97.8%	13,383	0.42	0.021	251.2	260.3	29,825	0.0%
Cyprinus carpio	None	4	80.0%	52,588	99.3%	16,451	0.38	0.017	101.4	17.4	33,263	0.0%
Strongyloides venezuelensis	None	1	25.0%	2,177	80.7%	2,177	0.38	0.0	164.7	0.0	2,391	0.0%
Apostichopus parvimensis	None	18	66.7%	156,830	99.1%	11,577	0.37	0.025	103.2	29.5	119,169	0.0%
Echinostoma caproni	None	1	100.0%	4,041	100.0%	4,041	0.4	0.0	74.0	0.0	1,994	0.0%
Lottia gigantea	None	27	84.4%	178,344	98.0%	9,077	0.39	0.028	109.5	34.5	122,381	0.0%
Anabas testudineus	None	8	80.0%	45,446	96.5%	7,742	0.37	0.0094	92.2	39.7	29,790	0.0%
Aequipecten opercularis	None	1	2.9%	1,184	18.2%	1,184	0.4	0.0	185.4	0.0	1,471	0.0%
Gossypium raimondii	None	0	0.0%	0	0.0%	0.0	0.0	0.0	0.0	0.0	0	0.0%
Fukomys damarensis	None	3	100.0%	23,621	100.0%	9,125	0.42	0.045	110.9	16.9	16,591	0.0%
Haplochromis burtoni	None	3	100.0%	6,824	100.0%	2,186	0.37	0.014	74.4	15.2	3,452	0.0%
Diaphorina citri	None	2	12.5%	27,199	92.1%	25,278	0.38	0.034	96.0	44.6	24,365	0.0%
Hexaplex trunculus	None	0	0.0%	0	0.0%	0.0	0.0	0.0	0.0	0.0	0	0.0%
Ceratotherium simum	None	1	100.0%	16,987	100.0%	16,987	0.37	0.0	152.6	0.0	17,288	0.0%
Carassius auratus	None	3	100.0%	19,993	100.0%	13,796	0.38	0.012	159.9	42.2	17,220	0.0%
Gallus gallus	None	1	100.0%	3,999	100.0%	3,999	0.35	0.0	131.3	0.0	3,505	0.0%
Rhinatrema bivittatum	None	4	100.0%	64,681	100.0%	19,478	0.37	0.011	118.3	23.4	49,098	0.0%
Octopus bimaculoides	None	3	100.0%	34,068	100.0%	11,641	0.37	0.0083	126.1	21.2	29,592	0.0%
unresolved	None	14	4.9%	139,900	77.8%	14,316	0.37	0.021	115.2	30.9	126,239	0.0%
Papilio machaon	None	1	100.0%	11,289	100.0%	11,289	0.36	0.0	127.9	0.0	9,644	0.0%
Stichopus oshimae	None	1	8.3%	3,969	68.2%	3,969	0.37	0.0	70.7	0.0	1,872	0.0%
Trichinella spiralis	None	0	0.0%	0	0.0%	0.0	0.0	0.0	0.0	0.0	0	0.0%
Aspergillus niger	None	0	0.0%	0	0.0%	0.0	0.0	0.0	0.0	0.0	0	0.0%
Solanum lycopersicum	None	0	0.0%	0	0.0%	0.0	0.0	0.0	0.0	0.0	0	0.0%
Mercenaria mercenaria	None	0	0.0%	0	0.0%	0.0	0.0	0.0	0.0	0.0	0	0.0%
Encope perspectiva	None	0	0.0%	0	0.0%	0.0	0.0	0.0	0.0	0.0	0	0.0%
Tupaia chinensis	None	1	100.0%	12,884	100.0%	12,884	0.35	0.0	112.1	0.0	9,603	0.0%
Helobdella robusta	None	2	100.0%	12,131	100.0%	10,339	0.39	0.0053	134.0	11.1	10,206	0.0%
Penaeus vannamei	None	2	50.0%	4,035	86.5%	2,825	0.37	0.028	85.1	14.0	2,138	0.0%
Vicugna pacos	None	1	100.0%	5,806	100.0%	5,806	0.39	0.0	66.3	0.0	2,568	0.0%
Folsomia candida	None	8	47.1%	46,522	96.9%	35,823	0.38	0.031	216.5	179.6	48,745	0.0%
Sitophilus oryzae	None	1	100.0%	11,029	100.0%	11,029	0.35	0.0	90.3	0.0	6,639	0.0%
Schistocephalus solidus	None	1	100.0%	12,076	100.0%	12,076	0.37	0.0	80.9	0.0	6,523	0.0%
Pseudotyrannochthonius giganteus	None	0	0.0%	0	0.0%	0.0	0.0	0.0	0.0	0.0	0	0.0%
Lytechinus variegatus	None	1	14.3%	28,384	95.9%	28,384	0.37	0.0	144.5	0.0	27,350	0.0%
Acanthochromis polyacanthus	None	5	83.3%	51,626	98.2%	13,146	0.41	0.014	93.4	11.5	31,471	0.0%
Drosophila serrata	None	1	100.0%	13,489	100.0%	13,489	0.38	0.0	70.7	0.0	6,350	0.0%
Rhabditophanes sp. KR3021	None	1	100.0%	28,442	100.0%	28,442	0.36	0.0	132.3	0.0	25,132	0.0%
Holothuria poli	None	0	0.0%	0	0.0%	0.0	0.0	0.0	0.0	0.0	0	0.0%
